会う|あう|meet,encounter|v5u,vi|to meet,to encounter
青い|あおい|blue|adj-i|blue,green
赤い|あかい|red|adj-i|red
明い|あかるい|bright|adj-i|bright,colorful,cheerful
秋|あき|autumn|n|autumn,fall
開く|あく|be open|v5k,vi|to open,to be empty,to be vacant
開ける|あける|open|v1,vt|to open,to unwrap
上げる|あげる|raise|v1,vt|to raise,to elevate
朝|あさ|morning|n-adv|morning
朝御飯|あさごはん|breakfast|n|breakfast
明後日|あさって|day after tomorrow|n-adv|day after tomorrow
足|あし|foot|n|foot,leg
明日|あした|tomorrow|n-adv|tomorrow
あそこ|あそこ|over there|pronoun|over there
遊ぶ|あそぶ|play|v5b|to play,to make a visit
暖かい|あたたかい|warm|adj-i|warm,mild
頭|あたま|head|n|head
新しい|あたらしい|new|adj-i|new
あちら|あちら|that way|pronoun|that way
厚い|あつい|thick|adj-i|thick
暑い|あつい|hot|adj-i|hot (weather)
熱い|あつい|hot|adj-i|hot (thing)
後|あと|behind|n|behind,after
あなた|あなた|you|pronoun|you (referring to somone of equal or lower status),dear
兄|あに|older brother|noun|older brother
姉|あね|older sister|noun|older sister
あの|あの|that|pronoun|that
アパート|アパート|apartment|n|apartment
浴びる|あびる|bathe|v1,vt|to bathe,to shower
危ない|あぶない|dangerous|adj-i|dangerous
甘い|あまい|sweet|adj-i|sweet,delicious
あまり|あまり|not very
飴|あめ|candy|n|hard candy,toffee
雨|あめ|rain|n|rain
洗う|あらう|wash|v5u,vt|to wash
ある|ある|exist|v5r-i,vi|to be (usually for inanimate objects),to exist
歩く|あるく|walk|v5k,vi|to walk
あれ|あれ|that|pronoun|that
良い|いい|good|adj-i|good
いいえ|いいえ|no|int|no
言う|いう|say|v5u,vi|to say,to call
家|いえ|house|n|house,family,residence
行く|いく|go|v1,vi|to go
いくつ|いくつ|how much|adv|how much,how many,how old
池|いけ|pond|n|pond
医者|いしゃ|doctor|n|doctor
椅子|いす|chair|n|chair
忙しい|いそがしい|busy|adj-i|busy,occupied
痛い|いたい|painful|adj-i|painful,sore
一|いち|one|n,num|one
一日|いちにち|one day|n|one day,the first of the month
一番|いちばん|best|n-adv|first,number one
いつ|いつ|when|adv-na,n|how soon
五日|いつか|five days|n|five days,fifth day
一緒|いっしょ|together|adv,n|together
五つ|いつつ|five things|n|five things
いつも|いつも|always|adv,n|always,usually,every time
犬|いぬ|dog|n|dog
今|いま|now|n-adv,n|now
意味|いみ|meaning|n|meaning
妹|いもうと|younger sister|n,hum|younger sister
嫌|いや|unpleasant|adj-na,n|unpleasant,disagreeable,detestable
入口|いりぐち|entrance|n|entrance
居る|いる|exist|v1,vi|to be (animate objects),to have
要る|いる|need|v5t,vi|to need
入れる|いれる|put in|v1,vt|to put in,to admit,to accept
色|いろ|color|n|color
いろいろ|いろいろ|various|n|various
上|うえ|above|n|above,up,over,top
後ろ|うしろ|behind|n|behind,back,rear
薄い|うすい|thin|adj-i|thin
歌|うた|song|n|song
歌う|うたう|sing|v5u,vt|to sing
生まれる|うまれる|be born|v1,vi|to be born
海|うみ|sea|n|sea,beach
売る|うる|sell|v5r,vt|to sell
煩い|うるさい|noisy|adj-i|noisy,loud
上着|うわぎ|jacket|n|jacket
絵|え|drawing|n|drawing,picture,painting
映画|えいが|movie|n|movie,film
映画館|えいがかん|movie theater|n|movie theater,cinema
英語|えいご|English|n|English language
ええ|ええ|huh|int|yes,huh
駅|えき|station|n|station
エレベーター|エレベーター|elevator|n|elevator,lift
鉛筆|えんぴつ|pencil|n|pencil
おいしい|おいしい|delicious|adj-i|delicious,tasty
多い|おおい|many|adj-i|many,numerous
大きい|おおきい|big|adj-i|big,large,great
大きな|おおきな|big|adj-na|big,large,great
大勢|おおぜい|crowd|n|crowd,many
お母さん|おかあさん|mother|n|mother
お菓子|おかし|sweets|n|sweet,confections,candy
お金|おかね|money|n|money
起きる|おきる|get up,happen|v1,vi|to get up,to rise,to occur,to happen
置く|おく|put|v5k,vt|to put,to place,to leave behind
奥さん|おくさん|wife|n,hon|wife
お酒|おさけ|alcohol|n|alcohol,sake
お皿|おさら|plate|n|plate,dish
お爺さん|おじいさん|grandfather|n,hon|grandfather
教える|おしえる|teach|v1,vt|to teach,to tell,to inform
伯父さん|おじさん|uncle|n,hon|uncle,old man
押す|おす|push|v5s|to push,to press
遅い|おそい|slow|adj-i|slow,late,too late
お茶|おちゃ|tea|n|tea
お手洗い|おてあらい|bathroom|n|bathroom
お父さん|おとうさん|father|n,hon|father
弟|おとうと|younger brother|n,hum|brother
男|おとこ|man|n|man
男の子|おとこのこ|boy|n|boy
一昨日|おととい|day before yesterday|n-adv|day before yesterday
一昨年|おととし|year before last|n-adv|day before last
大人|おとな|adult|n|adult
お腹|おなか|stomach|n|stomach
同じ|おなじ|same|adj-f|same,identical
お兄さん|おにいさん|older brother|n,hon|older brother
お姉さん|おねえさん|older sister|n,hon|older sister
お祖母さん|おばあさん|grandmother|n|grandmother
伯母さん|おばさん|aunt|n|aunt,old lady
お風呂|おふろ|bath|n|noun
お弁当|おべんとう|box lunch|n|noun
覚える|おぼえる|remember,memorize|v1,vt|to remember,to memorize
御巡りさん|おまわりさん|policeman|n|pliceman
重い|おもい|heavy|adj-i|heavy
面白い|おもしろい|interesting|adj-i|interesting,amusing
泳ぐ|およぐ|swim|v5g,vi|to swim
降りる|おりる|descend|v1,vi|to descend,to go down
終る|おわる|finish|v5r,vi|to finish,to end
音楽|おんがく|music|n|music
女|おんな|woman|n|woman
女の子|おんなのこ|girl|n|girl
外国|がいこく|foreign country|n|foreign country
外国人|がいこくじん|foreigner|n|foreigner
会社|かいしゃ|company|n|company
階段|かいだん|stairs|n|stairs
買い物|かいもの|shopping|n|shopping
買う|かう|buy|v5u,vt|to buy
返す|かえす|return|v5s,vt|to return,to put back
帰る|かえる|return|v5r,vi|to return,to come back,to go home
顔|かお|face|n|face
かかる|かかる|hang,take time,take money|v5r,vi|to take time,to take money,to hang
鍵|かぎ|key|n|key
書く|かく|write
学生|がくせい|student
掛ける|かける|make call
傘|かさ|umbrella
貸す|かす|lend
風|かぜ|wind
風邪|かぜ|cold
家族|かぞく|family
方|かた|way,person
学校|がっこう|school
カップ|カップ|cup
家庭|かてい|home
角|かど|corner
鞄|かばん|bag
花瓶|かびん|vase
被る|かぶる|wear
紙|かみ|paper
カメラ|カメラ|camera
火曜日|かようび|Tuesday
辛い|からい|spicy
体|からだ|body
借りる|かりる|borrow
軽い|かるい|light
カレンダー|カレンダー|calendar
カレー|カレー|curry
川|かわ|river
可愛い|かわいい|cute
漢字|かんじ|kanji
木|き|tree
黄色|きいろ|yellow
黄色い|きいろい|yellow
消える|きえる|disappear
聞く|きく|hear,ask
北|きた|north
汚い|きたない|dirty
ギター|ギター|guitar
喫茶店|きっさてん|coffee shop
切手|きって|stamp
切符|きっぷ|ticket
昨日|きのう|yesterday
九|きゅう|nine
牛肉|ぎゅうにく|beef
牛乳|ぎゅうにゅう|milk
今日|きょう|today
教室|きょうしつ|classroom
兄弟|きょうだい|siblings
去年|きょねん|last year
嫌い|きらい|hate
切る|きる|cut
着る|きる|wear
きれい|きれい|pretty
キロ|キロ|kilogram,kilometer
銀行|ぎんこう|bank||
金曜日|きんようび|Friday
薬|くすり|medicine
下さい|ください|please,give me
果物|くだもの|fruit
口|くち|mouth
靴|くつ|shoes
靴下|くつした|socks
国|くに|country
曇り|くもり|cloudy weather
曇る|くもる|become cloudy
暗い|くらい|dark
クラス|クラス|class
グラム|グラム|gram
来る|くる|come
車|くるま|car
黒|くろ|black
黒い|くろい|black
警官|けいかん|policeman
今朝|けさ|this morning
消す|けす|erase
結構|けっこう|splendid
結婚|けっこん|marriage
月曜日|げつようび|Monday
玄関|げんかん|entranceway
元気|げんき|health
五|ご|five
公園|こうえん|park
交差点|こうさてん|intersection
紅茶|こうちゃ|black tea
交番|こうばん|police box
声|こえ|voice
ここ|ここ|here
午後|ごご|afternoon
九日|ここのか|nine days
九つ|ここのつ|nine
ご主人|ごしゅじん|your husband
午前|ごぜん|morning
答える|こたえる|answer
こちら|こちら|this way
こっち|こっち|this way
コップ|コップ|cup
今年|ことし|this year
言葉|ことば|language
子供|こども|child
この|この|this
御飯|ごはん|cooked rice,meal
コピー|コピー|copy
困る|こまる|be worried
これ|これ|this
今月|こんげつ|this month
今週|こんしゅう|this week
こんな|こんな|such
今晩|こんばん|this evening
コート|コート|coat
コーヒー|コーヒー|coffee
さあ|さあ|well
財布|さいふ|wallet
魚|さかな|fish
先|さき|previous
咲く|さく|bloom
作文|さくぶん|writing
差す|さす|hold up
雑誌|ざっし|magazine
砂糖|さとう|sugar
寒い|さむい|cold
再来年|さらいねん|year after next
三|さん|three
散歩|さんぽする|stroll
四|し|four
塩|しお|salt
しかし|しかし|but
時間|じかん|time
仕事|しごと|job
辞書|じしょ|dictionary
静か|しずか|quiet
下|した|down
七|しち|seven
質問|しつもん|question
自転車|じてんしゃ|bicycle
自動車|じどうしゃ|car
死ぬ|しぬ|die
字引|じびき|dictionary
自分|じぶん|oneself
閉まる|しまる|be closed
締める|しめる|tie
閉める|しめる|close
じゃ|じゃ|well then
写真|しゃしん|photograph
シャツ|シャツ|shirt
シャワー|シャワー|shower
十|じゅう|ten
授業|じゅぎょう|lesson
宿題|しゅくだい|homework
上手|じょうず|good at
丈夫|じょうぶ|strong
醤油|しょうゆ|soy sauce
食堂|しょくどう|cafeteria
知る|しる|know
白|しろ|white
白い|しろい|white
新聞|しんぶん|newspaper
水曜日|すいようび|Wednesday
吸う|すう|smoke
スカート|スカート|skirt
好き|すき|like
少ない|すくない|a few
すぐに|すぐに|instantly
少し|すこし|little
涼しい|すずしい|refreshing
ストーブ|ストーブ|heater
スプーン|スプーン|spoon
ズボン|ズボン|pants
スポーツ|スポーツ|sport
住む|すむ|reside
スリッパ|スリッパ|slippers
する|する|do
座る|すわる|sit
背|せ|height
生徒|せいと|pupil
せっけん|せっけん|thrift
背広|せびろ|business suit
狭い|せまい|narrow
ゼロ|ゼロ|zero
千|せん|thousand
先月|せんげつ|last month
先週|せんしゅう|last week
先生|せんせい|teacher
洗濯|せんたく|laundry
全部|ぜんぶ|all
セーター|セーター|sweater
掃除|そうじ|cleaning
そうして|そうして|like that
そこ|そこ|there
そして|そして|and then
そちら|そちら|there
そっち|そっち|there
外|そと|outside
その|その|that,um
側|そば|near
空|そら|sky
それ|それ|that
それから|それから|after that
それでは|それでは|in that case
大学|だいがく|university
大使館|たいしかん|embassy
大丈夫|だいじょうぶ|safe
大好き|だいすき|like a lot
大切|たいせつ|important
たいてい|たいてい|mostly
台所|だいどころ|kitchen
大変|たいへん|very
高い|たかい|high
たくさん|たくさん|many
タクシー|タクシー|taxi
出す|だす|take out,submit
立つ|たつ|stand
縦|たて|vertical
建物|たてもの|building
楽しい|たのしい|enjoyable
頼む|たのむ|request
たばこ|たばこ|tobacco
たぶん|たぶん|probably
食べ物|たべもの|food
食べる|たべる|eat
卵|たまご|egg
誰|だれ|who
誰か|だれか|somebody
誕生日|たんじょうび|birthday
だんだん|だんだん|gradually
小さい|ちいさい|little
小さな|ちいさな|little
近い|ちかい|near
違う|ちがう|wrong
近く|ちかく|near
地下鉄|ちかてつ|subway
地図|ちず|map
父|ちち|father
茶色|ちゃいろ|brown
茶わん|ちゃわん|tea cup
ちょうど|ちょうど|exactly
ちょっと|ちょっと|somewhat
使う|つかう|use
疲れる|つかれる|get tired
次|つぎ|next
着く|つく|arrive
机|つくえ|desk
作る|つくる|make
点ける|つける|turn on
勤める|つとめる|work for
つまらない|つまらない|boring
冷たい|つめたい|cold
強い|つよい|powerful
手|て|hand
出かける|でかける|go out
手紙|てがみ|letter
出来る|できる|be able to
出口|でぐち|exit
テスト|テスト|test
では|では|then
デパート|デパート|department store
でも|でも|but
出る|でる|appear
テレビ|テレビ|TV
天気|てんき|weather
電気|でんき|electricity
電気ストーブ|でんきストーブ|electric heater
電車|でんしゃ|train
電話|でんわ|telephone
テープ|テープ|tape
テーブル|テーブル|table
テープレコーダー|テープレコーダー|tape recorder
戸|と|door
ドア|ドア|door
トイレ|トイレ|toilet
どう|どう|how
いかが|いかが|how
どうして|どうして|why
どうぞ|どうぞ|please
動物|どうぶつ|animal
どうも|どうも|thanks
遠い|とおい|far
十日|とおか|ten days
時々|ときどき|sometimes
時計|とけい|watch
どこ|どこ|where
所|ところ|place
年|とし|year
図書館|としょかん|library
どちら|どちら|which way
どっち|どっち|which way
とても|とても|very
どなた|どなた|who
隣|となり|next to
どの|どの|which
飛ぶ|とぶ|jump
止まる|とまる|stop
友達|ともだち|friend
土曜日|どようび|Saturday
鳥|とり|bird
撮る|とる|take
取る|とる|take
どれ|どれ|which
ナイフ|ナイフ|knife
中|なか|middle
長い|ながい|long
泣く|なく|cry
鳴く|なく|bark
無くす|なくす|lose something
なぜ|なぜ|why
夏|なつ|summer
夏休み|なつやすみ|summer vacation
等|など|etc
七つ|ななつ|seven
七日|なのか|seven days
名前|なまえ|name
習う|ならう|learn
並ぶ|ならぶ|line up
並べる|ならべる|line up
なる|なる|become
何|なん/なに|what
二|に|two
賑やか|にぎやか|busy
肉|にく|meat
西|にし|west
日曜日|にちようび|Sunday
荷物|にもつ|luggage
ニュース|ニュース|news
庭|にわ|garden
脱ぐ|ぬぐ|take off
温い|ぬるい|lukewarm
ネクタイ|ネクタイ|tie
猫|ねこ|cat
寝る|ねる|lie down
登る|のぼる|climb
飲み物|のみもの|drink
飲む|のむ|drink
乗る|のる|get on
ノート|ノート|notebook
歯|は|tooth
はい|はい|yes
灰皿|はいざら|ashtray
入る|はいる|enter
葉書|はがき|postcard
履く|はく|put on
箱|はこ|box
橋|はし|bridge
箸|はし|chopsticks
始まる|はじまる|begin
初めて|はじめて|first time
初めに|はじめに|in the beginning
走る|はしる|run
バス|バス|bus
二十歳|はたち|20 years old
働く|はたらく|work
バター|バター|butter
八|はち|eight
二十日|はつか|twenty days
花|はな|flower
鼻|はな|nose
話|はなし|talk
話す|はなす|speak
母|はは|mother
早い|はやい|early
速い|はやい|quick
春|はる|spring
貼る|はる|stick
晴れ|はれ|clear weather
晴れる|はれる|be sunny
半|はん|half
晩|ばん|evening
パン|パン|bread
ハンカチ|ハンカチ|handkerchief
番号|ばんごう|number
晩御飯|ばんごはん|dinner
半分|はんぶん|half minute
パーティー|パーティー|party
東|ひがし|east
引く|ひく|pull
弾く|ひく|play piano
低い|ひくい|low
飛行機|ひこうき|airplane
左|ひだり|left
人|ひと|person
一つ|ひとつ|one thing
一月|ひとつき|one month
一人|ひとり|one person
暇|ひま|free time
百|ひゃく|hundred
病院|びょういん|hospital
病気|びょうき|illness
昼|ひる|noon
昼御飯|ひるごはん|lunch
広い|ひろい|spacious
フィルム|フィルム|film
封筒|ふうとう|envelope
フォーク|フォーク|fork
吹く|ふく|blow
服|ふく|clothes
二つ|ふたつ|two things
豚肉|ぶたにく|pork
二人|ふたり|two people
二日|ふつか|two days
太い|ふとい|fat
冬|ふゆ|winter
降る|ふる|fall
古い|ふるい|old
風呂|ふろ|bath
文章|ぶんしょう|sentence
プール|プール|pool
下手|へた|not good at
ベッド|ベッド|bed
ペット|ペット|pet
部屋|へや|room
辺|へん|area
ペン|ペン|pen
勉強|べんきょう|study
便利|べんり|convenient
ページ|ページ|page
ほう|ほう|one side
帽子|ぼうし|hat
ほか|ほか|other
ポケット|ポケット|pocket
欲しい|ほしい|want
ポスト|ポスト|post
細い|ほそい|thin
ボタン|ボタン|button
ホテル|ホテル|hotel
本|ほん|book
本棚|ほんだな|bookshelves
本当|ほんとう|truth
本当に|ほんとうに|really
ボールペン|ボールペン|ball-point pen
毎朝|まいあさ|every morning
毎月|まいげつ/まいつき|every month
毎週|まいしゅう|every week
毎日|まいにち|every day
毎年|まいねん/まいとし|every year
毎晩|まいばん|every night
前|まえ|before
曲る|まがる|bend
まずい|まずい|unpleasant
また|また|again
まだ|まだ|as yet
町|まち|town
待つ|まつ|wait
真っすぐ|まっすぐ|straight ahead
マッチ|マッチ|match
窓|まど|window
丸い|まるい|round
円い|まるい|round
万|まん|ten thousand
万年筆|まんねんひつ|fountain pen
磨く|みがく|brush teeth
右|みぎ|right
短い|みじかい|short
水|みず|water
店|みせ|shop
見せる|みせる|show
道|みち|street
三日|みっか|three days
三つ|みっつ|three things
緑|みどり|green
皆|みんな|everyone
南|みなみ|south
耳|みみ|ear
見る|みる|see
六日|むいか|sixth day
向こう|むこう|that way
難しい|むずかしい|difficult
六つ|むっつ|six things
村|むら|village
目|め|eye
眼鏡|めがね|glasses
メートル|メートル|meter
(1) もう|もう|already
(2) もう|もう|soon
もう一度|もういちど|again
木曜日|もくようび|Thursday
もちろん|もちろん|of course
持つ|もつ|hold
もっと|もっと|more
物|もの|thing
門|もん|gate
問題|もんだい|problem
八百屋|やおや|greengrocer
野菜|やさい|vegetable
易しい|やさしい|easy
安い|やすい|cheap
休み|やすみ|rest
八つ|やっつ|eight things
山|やま|mountain
やる|やる|do
夕方|ゆうがた|evening
夕飯|ゆうはん|dinner
郵便局|ゆうびんきょく|post office
昨夜|ゆうべ|last night
有名|ゆうめい|famous
雪|ゆき|snow
ゆっくりと|ゆっくりと|slowly
八日|ようか|eight days
洋服|ようふく|western-style clothes
よく|よく|well,frequently
横|よこ|horizontal,lying down
四日|よっか|four days
四つ|よっつ|four things
呼ぶ|よぶ|call out
読む|よむ|read
より|より|than
夜|よる|evening
弱い|よわい|weak
来月|らいげつ|next month
来週|らいしゅう|next week
来年|らいねん|next year
ラジオ|ラジオ|radio
ラジオカセット|ラジオカセット|radio cassette player
立派|りっぱ|splendid
留学生|りゅうがくせい|overseas student
両親|りょうしん|both parents
料理|りょうり|cooking
旅行|りょこう|travel
零|れい|zero
冷蔵庫|れいぞうこ|refrigerator
レコード|レコード|record
レストラン|レストラン|restaurant
練習|れんしゅう|practice
廊下|ろうか|hallway
六|ろく|six
ワイシャツ|ワイシャツ|dress shirt
若い|わかい|young
分かる|わかる|understand
忘れる|わすれる|forget
私|わたし|I
渡す|わたす|hand over
悪い|わるい|bad